EHI_number,sample_code,ENA accession,reads_pre_fastp,reads_post_fastp,bases_pre_fastp,bases_post_fastp,adapter_trimmed_reads,adapter_trimmed_bases,host_reads,metagenomic_bases,host_bases,reads_lost_fastp_percent,bases_lost_fastp_percent,bases_lost_fastp_percent_flat,adapter_percent,host_percent,host_percent_reads,singlem_fraction,average_genome_size,Indexed library molarity,Adaptor/library ratio,Index (from Sequence alias),latitude,longitude,Initial DNA for library (from IN Code) (from EHI_number),region,sample_type,bacterial_archaeal_bases,kappa,C,LR,modelR,LRstar,diversity,host_duplicate_fraction,Submit_PR,nonpareil_estimated_coverage,number_bins,sex,order,class,country,Capture ID,capture_id_flat,analysis
EHI02698,AKD81,,82186346,78882360,12327951900,11524462637,11614886,372322908,820093,11362925785,161536852,4%,7%,0.065,3%,1%,1.00%,7.95,4236196,14.04,0.05,204,43.14,-1.91,4.1,Gipuzkoa,Skin swab: ventral,854833265,0.6958,0.7178,5681368306,0.9928,3.81584E+12,19.9913,0.16,,0.15%,66,Male,Urodela,Amphibia,Spain,SD0385601,SD0385601,
EHI02951,AKE18,,27304564,26231760,4095684600,3813069342,4198074,143114332,306385,3753777520,59291822,4%,7%,0.069,3%,2%,1.20%,2.94,4473117,5.68,0.05,250,43.14,-1.91,26.2,Gipuzkoa,Skin swab: dorsal,110262339,0.4789,0.5102,1876846397,0.9977,5.54336E+13,20.395,0.04,,0.00%,44,Male,Urodela,Amphibia,Spain,SD0385501,SD0385501,
EHI02952,AKE14,,27010052,26062728,4051507800,3761076344,5154845,173451641,252991,3714933829,46142515,4%,7%,0.072,4%,1%,1.00%,17.97,4495303,3.19,0.09,251,43.03,-1.18,6,Nafarroa,Skin swab: dorsal,667597485,0.5591,0.5877,1857430687,0.9988,2.17529E+12,19.9099,0.06,,0.09%,44,Male,Urodela,Amphibia,Spain,SD0385201,SD0385201,
EHI02953,AKE10,,47361878,46261044,7104281700,6646508241,10515035,313334542,566634,6544208057,102300184,2%,6%,0.064,4%,2%,1.20%,0.06,3502548,13.01,0.06,252,43.14,-1.91,107.8,Gipuzkoa,Skin swab: dorsal,4203058,0.5369,0.5663,3272017817,0.9979,4.82183E+13,20.2631,0.06,,0.01%,44,Male,Urodela,Amphibia,Spain,SD0385301,SD0385301,
EHI02954,AKE17,,25531590,24668044,3829738500,3601070161,3588293,113824348,276234,3547414251,53655910,3%,6%,0.06,3%,1%,1.10%,6.44,3635658,5.69,0.02,253,43,-1.17,6.7,Nafarroa,Skin swab: ventral,228573823,0.4945,0.5253,1773684614,0.9981,2.94276E+13,20.3346,0.05,,0.01%,44,Male,Urodela,Amphibia,Spain,SD0383001,SD0383001,
EHI02955,AKE05,,28633682,27747044,4295052300,4032495751,4558458,146400253,304772,3973849997,58645754,3%,6%,0.061,3%,1%,1.10%,6.77,3962667,2.26,0.06,254,43,-1.17,6.7,Nafarroa,Skin swab: ventral,269223572,0.5052,0.5357,1986884037,0.9979,2.8846E+13,20.3909,0.06,,0.01%,44,Male,Urodela,Amphibia,Spain,SD0382901,SD0382901,
EHI02956,AKE20,,24671836,23464636,3700775400,3410553960,3854301,130118811,270414,3358477406,52076554,5%,8%,0.078,4%,2%,1.20%,1.83,3273195,13.66,0.04,255,43,-1.17,14.7,Nafarroa,Skin swab: dorsal,61601532,0.4748,0.5061,1679202830,0.9982,6.32899E+13,20.3194,0.04,,0.00%,44,Male,Urodela,Amphibia,Spain,SD0383201,SD0383201,
EHI02957,AKD96,,25814420,24870476,3872163000,3616570587,3988427,135124849,282525,3561866456,54704131,4%,7%,0.066,3%,2%,1.10%,2.92,4271660,5.63,0.04,256,43.16,-1.91,9.3,Nafarroa,Skin swab: dorsal,103929490,0.4946,0.5254,1780902577,0.9979,4.10051E+13,20.2961,0.06,,0.00%,44,Male,Urodela,Amphibia,Spain,SD0383901,SD0383901,
EHI02981,AKE13,,26873712,25744132,4031056800,3753596354,4138508,145464173,274037,3699998215,53598139,4%,7%,0.069,4%,1%,1.10%,6.85,4027644,4.26,0.17,269,43.14,-1.91,0,Gipuzkoa,Skin swab: ventral,253540165,0.6816,0.7044,1849969411,0.9929,7.39938E+11,19.3356,0.2,,0.25%,44,Male,Urodela,Amphibia,Spain,SD0385401,SD0385401,
EHI02982,AKD93,,34599038,33476374,5189855700,4870749198,5432281,184666325,371458,4798815577,71933621,3%,6%,0.061,4%,1%,1.10%,3.85,4068304,5.79,0.07,270,43.14,-1.91,4.5,Gipuzkoa,Skin swab: ventral,184538271,0.6927,0.7149,2399373231,0.9912,1.7471E+12,19.354,0.2,,0.14%,44,Male,Urodela,Amphibia,Spain,SD0385701,SD0385701,
EHI02983,AKE16,,32644272,30984062,4896640800,4513926264,5105771,174408927,316032,4452922700,61003564,5%,8%,0.078,4%,1%,1.00%,11.55,3656753,6.99,0.1,271,43,-1.17,2,Nafarroa,Skin swab: dorsal,514468521,0.6406,0.6656,2226414047,0.9927,1.43474E+12,19.8517,0.16,,0.16%,44,Male,Urodela,Amphibia,Spain,SD0383001,SD0383001,
EHI02958,AKE19,,22073510,20709892,3311026500,3014316745,3860461,142993076,181629,2979252221,35064524,6%,9%,0.09,4%,1%,0.90%,20.63,4742078,4.4,0.17,265,43.14,-1.91,1.7,Gipuzkoa,Skin swab: ventral,614668126,0.6107,0.6371,1489592252,0.9947,7.63882E+11,19.6989,0.15,,0.20%,44,Male,Urodela,Amphibia,Spain,SD0385501,SD0385501,
